Clip,Mean_J1,Mean_J2,Mean_J3,Mean_J4,Mean_J5,Mean_J6,Max_J1,Max_J2,Max_J3,Max_J4,Max_J5,Max_J6,Std_J1,Std_J2,Std_J3,Std_J4,Std_J5,Std_J6
clip_00001,-0.08418020283641162,0.9941612384564644,-0.9776962401055409,-1.0871536939313984,-0.4744702341688654,-5.519252968337731,13.798828125,20.654296875,16.69921875,19.599609375,25.400390625,26.279296875,3.563537836644679,5.840541268708213,5.4420834315804365,5.027410492073846,6.85836815147729,11.270252629253596
clip_00002,0.00933711027713626,1.2960315025981524,-0.37815296622401845,-0.7295124855658198,-0.2709791786951501,-5.7922560623556585,10.72265625,16.611328125,13.0078125,13.095703125,25.13671875,27.421875,2.9824401852333704,5.5030311116477915,4.29071316216622,3.2278516668544124,7.37974420476077,10.574645036759419
clip_00003,-0.3019054625331565,1.1959652685676392,-0.6264246933023873,-0.18627217340848806,-0.38070395391246686,-6.469869031830239,11.953125,15.1171875,13.447265625,13.7109375,28.65234375,25.83984375,3.2449063571384773,4.922994527310003,4.253513107825621,4.338761111527522,8.572643741053566,11.828434431845645
clip_00004,-0.2739229804015296,1.619338551625239,-0.7953849486137667,-0.4332352413957935,-0.1630093809751434,-4.783064949808796,13.095703125,26.71875,15.908203125,16.611328125,41.220703125,32.87109375,2.6877160524663593,5.2279173793635945,4.514241421357082,4.548959552026792,9.733730250733853,11.337595201319383
clip_00005,-0.15906430115273776,2.4313029088616713,-0.3072372568443804,-2.555413589697406,-0.3282600864553314,-5.1890928944524495,18.6328125,16.787109375,16.962890625,22.939453125,35.33203125,25.83984375,3.26252077700222,5.8358238829054665,6.874657202873145,5.404126938216755,8.121089484782708,11.386895357466441
clip_00006,-0.2790314016990291,2.428298505764563,-0.44819952214805825,-2.4355516155946604,-0.49854463743932037,-6.540811779429611,15.205078125,19.3359375,24.169921875,17.490234375,41.484375,26.19140625,2.9957741111616154,5.404997982342813,6.090055366289034,4.30733416115166,7.98805033000167,12.263081185440125
clip_00007,-0.0855396412037037,1.7592592592592593,-1.0559534143518519,-1.2131076388888888,-0.3396267361111111,-5.553023726851852,11.77734375,14.150390625,12.744140625,13.18359375,24.873046875,30.41015625,2.8311237216192264,4.431696626554448,5.002200753628137,3.4086019277336232,7.0436868238135215,11.649588436723528
clip_00008,-0.20420359141791045,2.281220848880597,-0.23000233208955223,-0.17643715018656717,-0.3039004197761194,-4.5873659048507465,11.513671875,18.28125,18.984375,25.83984375,33.046875,20.478515625,2.8630822416269037,5.616383333667247,4.623544561265284,5.729722426504105,8.623541740237355,9.061289793289838
clip_00009,-0.11484677029639176,2.0683744764819587,-0.3658334004510309,-1.4898367026417525,-0.4238230911726804,-5.307642356636598,11.513671875,17.490234375,16.5234375,14.23828125,39.287109375,21.796875,2.892019540085927,5.29301527366918,4.9526158967880445,5.120857266884942,7.984367584088651,10.176537056869218
clip_00010,-0.22791121955587393,2.109375,-0.52734375,-0.7089172188395415,0.03651616224928367,-4.865715660816619,11.865234375,13.359375,10.458984375,27.94921875,23.291015625,20.126953125,2.9722921831077005,4.767335649833818,4.668908092432116,4.688959726175618,7.236718579962677,9.328425440710586
